run_id,seed,Problem,Algorithm,n_evals,n_gen,PM1,PM2,PM3
1,0,DTLZ1,NSGA2,100,1,469.59822524607,227.06405400020594,
1,0,DTLZ1,NSGA2,200,2,458.3587317283542,227.06405400020594,
1,0,DTLZ1,NSGA2,300,3,431.72057630684344,227.06405400020594,
1,0,DTLZ1,NSGA2,400,4,415.6267206624545,227.06405400020594,
1,0,DTLZ1,NSGA2,500,5,410.6384295428444,227.06405400020594,
1,1,DTLZ1,NSGA2,100,1,490.47379017469683,258.68880462703856,
1,1,DTLZ1,NSGA2,200,2,482.2295496415586,258.68880462703856,
1,1,DTLZ1,NSGA2,300,3,437.45404259048325,230.12346666734243,
1,1,DTLZ1,NSGA2,400,4,450.8964294749038,230.12346666734243,
1,1,DTLZ1,NSGA2,500,5,420.81305862833847,168.7320633581489,
1,2,DTLZ1,NSGA2,100,1,473.1118231450734,265.9801990952326,
1,2,DTLZ1,NSGA2,200,2,475.2378131440252,265.9801990952326,
1,2,DTLZ1,NSGA2,300,3,462.925618547641,248.7807527116842,
1,2,DTLZ1,NSGA2,400,4,461.80582265331753,248.7807527116842,
1,2,DTLZ1,NSGA2,500,5,450.59939995447183,241.67426153212932,
2,0,DTLZ2,NSGA3,3,1,1.3010907864475467,,
2,0,DTLZ2,NSGA3,6,2,1.2681378977291948,,
2,0,DTLZ2,NSGA3,9,3,1.242450678302872,,
2,0,DTLZ2,NSGA3,12,4,1.2251583597342859,,
2,0,DTLZ2,NSGA3,15,5,1.0766219395552918,,
2,0,DTLZ2,NSGA3,18,6,1.079298658656163,,
2,0,DTLZ2,NSGA3,21,7,1.079298658656163,,
3,0,DTLZ4,MOEAD,3,1,1.8128357901202752,,
3,0,DTLZ4,MOEAD,6,2,1.379277308451441,,
3,0,DTLZ4,MOEAD,9,3,1.465504792843906,,
3,0,DTLZ4,MOEAD,12,4,1.4649181369129087,,
3,0,DTLZ4,MOEAD,15,5,1.4649181369129087,,
3,0,DTLZ4,MOEAD,18,6,1.3681518140286624,,
3,0,DTLZ4,MOEAD,21,7,1.3681518140286624,,
3,0,DTLZ4,MOEAD,24,8,1.3384692182256415,,
3,0,DTLZ4,MOEAD,27,9,1.3301343839034698,,
3,0,DTLZ4,MOEAD,30,10,1.3252234011540631,,
3,1,DTLZ4,MOEAD,3,1,1.7756255038922846,,
3,1,DTLZ4,MOEAD,6,2,1.7756255038922846,,
3,1,DTLZ4,MOEAD,9,3,1.7756255038922846,,
3,1,DTLZ4,MOEAD,12,4,1.7756255038922846,,
3,1,DTLZ4,MOEAD,15,5,1.7754506816135387,,
3,1,DTLZ4,MOEAD,18,6,1.767201976562122,,
3,1,DTLZ4,MOEAD,21,7,1.767201976562122,,
3,1,DTLZ4,MOEAD,24,8,1.767201976562122,,
3,1,DTLZ4,MOEAD,27,9,1.767201976562122,,
3,1,DTLZ4,MOEAD,30,10,1.767201976562122,,
