seed,problem,algorithm,n_eval,n_gen,gd+
0,dtlz4,nsga2,100,1,0.482184288300677
0,dtlz4,nsga2,200,2,0.49360279522768047
0,dtlz4,nsga2,300,3,0.5033396276620881
0,dtlz4,nsga2,400,4,0.44994224465561555
0,dtlz4,nsga2,500,5,0.5041117145948935
0,dtlz4,nsga3,91,1,0.5062123725656317
0,dtlz4,nsga3,182,2,0.7411417969098331
0,dtlz4,nsga3,273,3,0.5293481694411171
0,dtlz4,nsga3,364,4,0.7825607086218671
0,dtlz4,nsga3,455,5,0.4574285419644438
0,dtlz4,nsga3,546,6,0.6213108880444941
0,dtlz4,unsga3,91,1,0.6262288767546801
0,dtlz4,unsga3,182,2,0.5493239109247278
0,dtlz4,unsga3,273,3,0.5007669980269557
0,dtlz4,unsga3,364,4,0.5663712016359054
0,dtlz4,unsga3,455,5,0.5757616890303937
0,dtlz4,unsga3,546,6,0.43288035120827134
0,dtlz4,moead,91,1,0.4959053325224505
0,dtlz4,moead,182,2,0.0465712623042017
0,dtlz4,moead,273,3,0.018567419822477213
0,dtlz4,moead,364,4,0.006261534308041603
0,dtlz4,moead,455,5,0.0009692073165648019
0,dtlz4,moead,546,6,0.000453595557362403
0,dtlz4,ctaea,91,1,0.4604503112802157
0,dtlz4,ctaea,182,2,0.49579949569048837
0,dtlz4,ctaea,273,3,0.41363390541670986
0,dtlz4,ctaea,364,4,0.4121586736056338
0,dtlz4,ctaea,455,5,0.3874775481768049
0,dtlz4,ctaea,546,6,0.37111947274926765
