seed,problem,algorithm,n_eval,n_gen,gd+
0,bnh,nsga2,100,1,0.5431515794218706
0,bnh,nsga2,200,2,0.44570872443681875
0,bnh,nsga2,300,3,0.3614820656612041
0,bnh,nsga2,400,4,0.3572258446348039
0,bnh,nsga2,500,5,0.2999995280012098
0,carside,nsga2,100,1,0.169953832073367
0,carside,nsga2,200,2,0.14790338507133474
0,carside,nsga2,300,3,0.2204825930706474
0,carside,nsga2,400,4,0.291661318623281
0,carside,nsga2,500,5,0.40597322186084006
0,ctp1,nsga2,100,1,0.11856118556639665
0,ctp1,nsga2,200,2,0.1254177287348479
0,ctp1,nsga2,300,3,0.05945560336293372
0,ctp1,nsga2,400,4,0.06691056778466554
0,ctp1,nsga2,500,5,0.031004478768548366
0,ctp2,nsga2,100,1,0.10101603759167384
0,ctp2,nsga2,200,2,0.1065412914028619
0,ctp2,nsga2,300,3,0.16649217367579924
0,ctp2,nsga2,400,4,0.18877294934551636
0,ctp2,nsga2,500,5,0.1472883221214793
0,ctp3,nsga2,100,1,0.10792306038248657
0,ctp3,nsga2,200,2,0.09906321312763816
0,ctp3,nsga2,300,3,0.15081270581121123
0,ctp3,nsga2,400,4,0.1821401721704815
0,ctp3,nsga2,500,5,0.13504829757292522
0,ctp4,nsga2,100,1,0.3002053632244138
0,ctp4,nsga2,200,2,0.3312319837844521
0,ctp4,nsga2,300,3,0.2537759313102978
0,ctp4,nsga2,400,4,0.26569249962444985
0,ctp4,nsga2,500,5,0.2613349131410738
0,ctp5,nsga2,100,1,0.1263063531702641
0,ctp5,nsga2,200,2,0.08453745173398668
0,ctp5,nsga2,300,3,0.08153766262145412
0,ctp5,nsga2,400,4,0.07923483134343116
0,ctp5,nsga2,500,5,0.09391199312914424
0,ctp6,nsga2,100,1,3.332902250066817
0,ctp6,nsga2,200,2,0.10184536205622395
0,ctp6,nsga2,300,3,0.07401639275590188
0,ctp6,nsga2,400,4,0.06595639570762692
0,ctp6,nsga2,500,5,0.05554956887038837
0,ctp7,nsga2,100,1,0.08034130845624947
0,ctp7,nsga2,200,2,0.056296386167610526
0,ctp7,nsga2,300,3,0.06970236715856161
0,ctp7,nsga2,400,4,0.050653997210253064
0,ctp7,nsga2,500,5,0.07322006866891898
0,ctp8,nsga2,100,1,4.311071052593803
0,ctp8,nsga2,200,2,5.207788401681197
0,ctp8,nsga2,300,3,5.41525205667457
0,ctp8,nsga2,400,4,5.828900470793085
0,ctp8,nsga2,500,5,4.822917867398973
0,dascmop1,nsga2,100,1,1.962349373007699
0,dascmop1,nsga2,200,2,1.962349373007699
0,dascmop1,nsga2,300,3,1.9626950455053391
0,dascmop1,nsga2,400,4,1.868646233978883
0,dascmop1,nsga2,500,5,1.7181712894809902
0,dascmop2,nsga2,100,1,2.458863633984347
0,dascmop2,nsga2,200,2,2.458863633984347
0,dascmop2,nsga2,300,3,2.4559659640610305
0,dascmop2,nsga2,400,4,2.429154203253976
0,dascmop2,nsga2,500,5,1.4226167781212609
0,dascmop3,nsga2,100,1,2.6248425773049187
0,dascmop3,nsga2,200,2,2.3685548023652383
0,dascmop3,nsga2,300,3,1.5562450467296922
0,dascmop3,nsga2,400,4,1.3042817763904584
0,dascmop3,nsga2,500,5,1.3042817763904584
0,dascmop4,nsga2,100,1,31.366457981698783
0,dascmop4,nsga2,200,2,26.243695939827298
0,dascmop4,nsga2,300,3,26.243695939827298
0,dascmop4,nsga2,400,4,24.382604337522192
0,dascmop4,nsga2,500,5,20.283148946492137
0,dascmop5,nsga2,100,1,31.293440688029865
0,dascmop5,nsga2,200,2,31.0892290910686
0,dascmop5,nsga2,300,3,28.77751761185916
0,dascmop5,nsga2,400,4,26.383596663611183
0,dascmop5,nsga2,500,5,24.91093749053454
0,dascmop6,nsga2,100,1,31.348726362606197
0,dascmop6,nsga2,200,2,29.490029728495117
0,dascmop6,nsga2,300,3,27.897626881218105
0,dascmop6,nsga2,400,4,27.58162250528155
0,dascmop6,nsga2,500,5,25.444563785670116
0,dascmop7,nsga2,100,1,38.03183966932545
0,dascmop7,nsga2,200,2,38.03183966932545
0,dascmop7,nsga2,300,3,33.82616354381449
0,dascmop7,nsga2,400,4,32.94891507413953
0,dascmop7,nsga2,500,5,30.836739929008147
0,dascmop8,nsga2,100,1,38.02441672061679
0,dascmop8,nsga2,200,2,38.02441672061679
0,dascmop8,nsga2,300,3,37.57689211096597
0,dascmop8,nsga2,400,4,31.15543963146408
0,dascmop8,nsga2,500,5,30.461497262101116
0,dascmop9,nsga2,100,1,5.73826933819916
0,dascmop9,nsga2,200,2,3.7344697626870653
0,dascmop9,nsga2,300,3,3.3566492257426717
0,dascmop9,nsga2,400,4,3.3929921737418436
0,dascmop9,nsga2,500,5,2.507122943574954
0,df1,nsga2,100,1,1.936060570634535
0,df1,nsga2,200,2,1.1004800634532441
0,df1,nsga2,300,3,1.087509651630477
0,df1,nsga2,400,4,0.8016475425046478
0,df1,nsga2,500,5,0.43836010400623104
0,df2,nsga2,100,1,1.3781185008085817
