seed,problem,algorithm,n_eval,n_gen,best
0,ackley,ga,100,1,12.438739027373735
0,ackley,ga,200,2,6.026651377891412
0,ackley,ga,300,3,4.53489984991009
0,ackley,ga,400,4,4.53489984991009
0,ackley,ga,500,5,2.801469027834426
0,ackley,pso,25,1,12.367983174749227
0,ackley,pso,50,2,4.20771508157371
0,ackley,pso,75,3,3.0057184243978345
0,ackley,pso,100,4,3.0057184243978345
0,ackley,pso,125,5,3.0057184243978345
0,ackley,pso,150,6,3.0057184243978345
0,ackley,pso,175,7,1.727582203452997
0,ackley,pso,200,8,1.727582203452997
0,ackley,pso,225,9,1.727582203452997
0,ackley,pso,250,10,1.6028337263299304
0,ackley,pso,275,11,1.6028337263299304
0,ackley,pso,300,12,1.6028337263299304
0,ackley,pso,325,13,1.3269684163771918
0,ackley,pso,350,14,0.9442460542996014
0,ackley,pso,375,15,0.3087788551593076
0,ackley,pso,400,16,0.3087788551593076
0,ackley,pso,425,17,0.3087788551593076
0,ackley,pso,450,18,0.14296449299558533
0,ackley,pso,475,19,0.14296449299558533
0,ackley,pso,500,20,0.14296449299558533
0,ackley,de,100,1,9.279312282715194
0,ackley,de,200,2,4.5445330340868
0,ackley,de,300,3,4.5445330340868
0,ackley,de,400,4,3.6143073193064876
0,ackley,de,500,5,2.777038425367476
0,g1,ga,100,1,
0,g1,ga,200,2,
0,g1,ga,300,3,
0,g1,ga,400,4,
0,g1,ga,500,5,
0,g1,pso,25,1,
0,g1,pso,50,2,
0,g1,pso,75,3,
0,g1,pso,100,4,
0,g1,pso,125,5,
0,g1,pso,150,6,
0,g1,pso,175,7,
0,g1,pso,200,8,-2.0856202016931498
0,g1,pso,225,9,-2.0856202016931498
0,g1,pso,250,10,-2.4753226159430453
0,g1,pso,275,11,-3.486810115150715
0,g1,pso,300,12,-3.978552413175575
0,g1,pso,325,13,-4.870146816613453
0,g1,pso,350,14,-4.870146816613453
0,g1,pso,375,15,-4.870146816613453
0,g1,pso,400,16,-4.870146816613453
0,g1,pso,425,17,-4.870146816613453
0,g1,pso,450,18,-4.870146816613453
0,g1,pso,475,19,-5.162776427031879
0,g1,pso,500,20,-5.162776427031879
0,g1,de,100,1,
0,g1,de,200,2,
0,g1,de,300,3,
0,g1,de,400,4,
0,g1,de,500,5,-0.14537729051172388
0,griewank,ga,100,1,0.8638971156331552
0,griewank,ga,200,2,0.8638971156331552
0,griewank,ga,300,3,0.5839932783976759
0,griewank,ga,400,4,0.5839932783976759
0,griewank,ga,500,5,0.46662877999620145
0,griewank,pso,25,1,3.077931423914016
0,griewank,pso,50,2,2.0740756720477673
0,griewank,pso,75,3,1.4799418728417397
0,griewank,pso,100,4,0.3612676989496646
0,griewank,pso,125,5,0.316815808957578
0,griewank,pso,150,6,0.316815808957578
0,griewank,pso,175,7,0.316815808957578
0,griewank,pso,200,8,0.316815808957578
0,griewank,pso,225,9,0.23047604577789527
0,griewank,pso,250,10,0.23047604577789527
0,griewank,pso,275,11,0.23047604577789527
0,griewank,pso,300,12,0.23047604577789527
0,griewank,pso,325,13,0.23047604577789527
0,griewank,pso,350,14,0.23047604577789527
0,griewank,pso,375,15,0.23047604577789527
0,griewank,pso,400,16,0.23047604577789527
0,griewank,pso,425,17,0.23047604577789527
0,griewank,pso,450,18,0.23047604577789527
0,griewank,pso,475,19,0.17482222510176937
0,griewank,pso,500,20,0.07577334166055938
0,griewank,de,100,1,1.739487129748565
0,griewank,de,200,2,1.1395347995816487
0,griewank,de,300,3,0.6487227172110098
0,griewank,de,400,4,0.36221589701736934
0,griewank,de,500,5,0.36221589701736934
0,rastrigin,ga,100,1,10.283033141957516
0,rastrigin,ga,200,2,6.8335116145939665
0,rastrigin,ga,300,3,0.13627273826273623
0,rastrigin,ga,400,4,0.13627273826273623
0,rastrigin,ga,500,5,0.13627273826273623
0,rastrigin,pso,25,1,7.697584273650726
0,rastrigin,pso,50,2,7.679930759121147
0,rastrigin,pso,75,3,5.723506366771744
0,rastrigin,pso,100,4,5.723506366771744
0,rastrigin,pso,125,5,5.723506366771744
0,rastrigin,pso,150,6,1.3548089873923317
0,rastrigin,pso,175,7,1.3548089873923317
0,rastrigin,pso,200,8,1.3548089873923317
0,rastrigin,pso,225,9,1.3548089873923317
0,rastrigin,pso,250,10,1.3548089873923317
0,rastrigin,pso,275,11,1.3548089873923317
0,rastrigin,pso,300,12,1.0124781217269998
0,rastrigin,pso,325,13,1.0124781217269998
