seed,problem,algorithm,n_eval,n_gen,best
0,ackley,de,100,1,12.438739027373735
0,ackley,de,200,2,7.445806005041664
0,ackley,de,300,3,6.164417986447944
0,ackley,de,400,4,5.31468940525864
0,ackley,de,500,5,4.094987647025583
0,g1,de,100,1,
0,g1,de,200,2,
0,g1,de,300,3,
0,g1,de,400,4,
0,g1,de,500,5,
0,g2,de,100,1,-0.18507303837354253
0,g2,de,200,2,-0.20532712931598485
0,g2,de,300,3,-0.2100841887605341
0,g2,de,400,4,-0.21749285944487046
0,g2,de,500,5,-0.2381382695908265
0,g3,de,100,1,
0,g3,de,200,2,
0,g3,de,300,3,
0,g3,de,400,4,
0,g3,de,500,5,
0,g4,de,100,1,-29379.410572723256
0,g4,de,200,2,-29379.410572723256
0,g4,de,300,3,-29379.410572723256
0,g4,de,400,4,-29446.63828519693
0,g4,de,500,5,-29648.814402741453
0,g5,de,100,1,
0,g5,de,200,2,
0,g5,de,300,3,
0,g5,de,400,4,
0,g5,de,500,5,
0,g6,de,100,1,
0,g6,de,200,2,
0,g6,de,300,3,
0,g6,de,400,4,-4174.971114074459
0,g6,de,500,5,-4174.971114074459
0,g7,de,100,1,
0,g7,de,200,2,
0,g7,de,300,3,
0,g7,de,400,4,
0,g7,de,500,5,
0,g8,de,100,1,
0,g8,de,200,2,-0.02102436892114755
0,g8,de,300,3,-0.02102436892114755
0,g8,de,400,4,-0.07779520363153862
0,g8,de,500,5,-0.09480271545830411
0,g9,de,100,1,
0,g9,de,200,2,
0,g9,de,300,3,8141088.505459252
0,g9,de,400,4,1503201.73982134
0,g9,de,500,5,1570.8434475707274
0,g10,de,100,1,
0,g10,de,200,2,
0,g10,de,300,3,
0,g10,de,400,4,
0,g10,de,500,5,
0,g11,de,100,1,0.7646587443544371
0,g11,de,200,2,0.7646587443544371
0,g11,de,300,3,0.7646587443544371
0,g11,de,400,4,0.7646587443544371
0,g11,de,500,5,0.7646587443544371
0,g12,de,100,1,-0.8700857130896005
0,g12,de,200,2,-0.8700857130896005
0,g12,de,300,3,-0.9555676524222751
0,g12,de,400,4,-0.9569050915340136
0,g12,de,500,5,-0.9875715021025541
0,g13,de,100,1,
0,g13,de,200,2,
0,g13,de,300,3,
0,g13,de,400,4,
0,g13,de,500,5,
0,g14,de,100,1,
0,g14,de,200,2,
0,g14,de,300,3,
0,g14,de,400,4,
0,g14,de,500,5,
0,g15,de,100,1,
0,g15,de,200,2,
0,g15,de,300,3,
0,g15,de,400,4,
0,g15,de,500,5,
0,g16,de,100,1,
0,g16,de,200,2,
0,g16,de,300,3,
0,g16,de,400,4,
0,g16,de,500,5,
0,g17,de,100,1,
0,g17,de,200,2,
0,g17,de,300,3,
0,g17,de,400,4,
0,g17,de,500,5,
0,g18,de,100,1,
0,g18,de,200,2,
0,g18,de,300,3,
0,g18,de,400,4,
0,g18,de,500,5,
0,g19,de,100,1,5828.097564710536
0,g19,de,200,2,5465.979398254596
0,g19,de,300,3,3797.089653324948
0,g19,de,400,4,3545.9675351601563
0,g19,de,500,5,2340.230795791305
0,g20,de,100,1,
0,g20,de,200,2,
0,g20,de,300,3,
0,g20,de,400,4,
0,g20,de,500,5,
0,g21,de,100,1,
0,g21,de,200,2,
0,g21,de,300,3,
0,g21,de,400,4,
0,g21,de,500,5,
0,g22,de,100,1,
0,g22,de,200,2,
