seed,problem,algorithm,n_eval,n_gen,gd+
0,dtlz4,nsga2,100,1,0.482184288300677
0,dtlz4,nsga2,200,2,0.4737669545324058
0,dtlz4,nsga2,300,3,0.4220314907902099
0,dtlz4,nsga2,400,4,0.437089835013236
0,dtlz4,nsga2,500,5,0.422270684633164
0,dtlz4,nsga3,91,1,0.4984069957643579
0,dtlz4,nsga3,182,2,0.5258523045130407
0,dtlz4,nsga3,273,3,0.7863064029736284
0,dtlz4,nsga3,364,4,0.9004210307249597
0,dtlz4,nsga3,455,5,0.9004210307249597
0,dtlz4,nsga3,546,6,0.682762947976169
0,dtlz4,unsga3,91,1,0.4984069957643579
0,dtlz4,unsga3,182,2,0.5437286895904176
0,dtlz4,unsga3,273,3,0.6141948647176059
0,dtlz4,unsga3,364,4,0.3114997880242814
0,dtlz4,unsga3,455,5,0.40327470853613495
0,dtlz4,unsga3,546,6,0.3449353907301398
0,dtlz4,moead,91,1,0.4959053325224505
0,dtlz4,moead,182,2,0.06916139162172998
0,dtlz4,moead,273,3,0.027967961597329213
0,dtlz4,moead,364,4,0.005801861633813354
0,dtlz4,moead,455,5,0.001302452227329276
0,dtlz4,moead,546,6,0.0009496098536610062
0,dtlz4,ctaea,91,1,0.4959053325224505
0,dtlz4,ctaea,182,2,0.5467629822891522
0,dtlz4,ctaea,273,3,0.5135762489470593
0,dtlz4,ctaea,364,4,0.4915583716402293
0,dtlz4,ctaea,455,5,0.47999179451016694
0,dtlz4,ctaea,546,6,0.45090236585353216
