seed,problem,algorithm,n_eval,n_gen,gd,gd+,igd+,igd,-hv
0,bnh,nsga2,100,1,0.6355777286989912,0.5431515794218706,1.1083758708462719,3.884690731068157,-4901.431144272288
0,bnh,nsga2,200,2,0.6058808412226455,0.5184532128450607,0.7783179803733751,2.7531070711539383,-4962.619215056964
0,bnh,nsga2,300,3,0.5077793717224607,0.4194524223057869,0.5815733740770788,2.3796022482529207,-5000.674322122203
0,bnh,nsga2,400,4,0.47756081493914115,0.3345785485260271,0.3962595068354804,1.3053639696456074,-5031.897070683128
0,bnh,nsga2,500,5,0.45256448653673254,0.29569291056561525,0.2777295415891777,1.0071032790313972,-5050.1822928603015
0,bnh,nsga3,13,1,1.1239718381812513,0.9910741061939462,3.54527458107288,8.929704592155687,-4480.310762451402
0,bnh,nsga3,26,2,0.960071337809673,0.731870215455909,3.560228486680737,8.805474156361118,-4493.316681346292
0,bnh,nsga3,39,3,1.2210336820139605,1.1417940652031073,2.5682110317847777,5.311898235284424,-4674.035666227697
0,bnh,nsga3,52,4,1.0805492677814934,0.9940619294838722,2.834964516241921,5.772349358996577,-4622.127515766292
0,bnh,nsga3,65,5,1.003119199897399,0.8920635453327609,3.0073888184607154,6.526651930530622,-4587.355930994607
0,bnh,nsga3,78,6,0.9638114145936729,0.771339167958712,2.83218484531311,6.11279470174117,-4631.538538459959
0,bnh,nsga3,91,7,0.9116908497460859,0.6910934533319323,2.6765609637700027,5.86186333476921,-4657.89272894595
0,bnh,nsga3,104,8,0.900659054509349,0.6601390683529447,2.6450072113478478,5.869094262123404,-4663.69032979413
0,bnh,nsga3,117,9,0.8640532604935801,0.6493464862970063,2.6250049276996656,5.84380633315408,-4666.888459646962
0,bnh,nsga3,130,10,0.8674264416490098,0.666708824593769,2.6606439681719745,5.977199179819796,-4659.058964736691
0,bnh,nsga3,143,11,0.8671292574665269,0.6896289416075246,2.6818268612196436,5.95563497983591,-4655.273089115891
0,bnh,nsga3,156,12,0.8504704446086914,0.6894172526475488,2.7262180780894183,6.160273506718213,-4646.477145250363
0,bnh,nsga3,169,13,1.0496028659062424,0.8953502640600981,2.6975534487739856,5.852880422675575,-4652.443561503826
0,bnh,nsga3,182,14,0.9888030825340091,0.851123973859694,2.6517328062544188,5.587758109349612,-4659.358417257984
0,bnh,nsga3,195,15,0.9888030825340091,0.851123973859694,2.6517328062544188,5.587758109349612,-4659.358417257984
0,bnh,nsga3,208,16,0.9681272618618679,0.8151195117966666,2.6049894564451326,5.5294338509749785,-4667.965398422103
0,bnh,nsga3,221,17,0.9866316807573151,0.8009090618773326,2.5491849537301174,5.445025814087138,-4678.962530307824
0,bnh,nsga3,234,18,0.724188532651223,0.4816263383822035,2.2717487161380494,5.413474608122345,-4724.919211367992
0,bnh,nsga3,247,19,0.7629350849362425,0.5288063037802768,2.29622886353894,5.592183721472804,-4723.682988858221
0,bnh,nsga3,260,20,0.785579496939959,0.5287616258258568,2.31752535989226,5.6613645375811465,-4719.610778972044
0,bnh,nsga3,273,21,0.8250446930778325,0.5417705497029028,2.3191131829289997,5.665400862254163,-4719.501086136211
0,bnh,nsga3,286,22,0.835747488587588,0.5442715284671983,2.324632611451408,5.665800882294005,-4718.5481198915995
0,bnh,nsga3,299,23,0.7563943075036654,0.47711767101416913,2.202731510143572,5.470677035331063,-4741.058141797398
0,bnh,nsga3,312,24,0.7650271976568812,0.4823137033716959,2.2028429855267975,5.470846603996275,-4741.04760462928
0,bnh,nsga3,325,25,0.7878446808340308,0.5088292082595836,2.2530992498880678,5.355556021248316,-4731.7327551527105
0,bnh,nsga3,338,26,0.7837230882433125,0.4980872273628051,2.254256970135772,5.355555291192414,-4731.777880518001
0,bnh,nsga3,351,27,0.7083637257570252,0.49053411034286704,2.202946207218192,5.2182397444859525,-4738.3900903934355
0,bnh,nsga3,364,28,0.7083637257570253,0.49053411034286715,2.202946207218192,5.2182397444859525,-4738.3900903934355
0,bnh,nsga3,377,29,0.7076105023803698,0.49053317464938667,2.203631531338707,5.219016808586575,-4738.3093338618755
0,bnh,nsga3,390,30,0.56340000628622,0.3441950568107076,1.9406200722557845,6.293376891791751,-4779.980592984274
0,bnh,nsga3,403,31,0.590874102265498,0.34285827505072786,1.9434666890116865,6.298710670794236,-4780.202066551044
0,bnh,nsga3,416,32,0.5895044491909771,0.3288588314233004,1.945923660886713,6.298889988006519,-4780.268187657936
0,bnh,nsga3,429,33,0.6024456446779587,0.32173840647694774,1.8881909229294656,6.109564210154585,-4790.852293101291
0,bnh,nsga3,442,34,0.5944337487314331,0.31846374526963184,1.887872741073011,6.109559766763301,-4790.898119615339
0,bnh,nsga3,455,35,0.5846511156679807,0.32014235531570306,1.8785211817204004,6.063533695626166,-4792.447420081456
0,bnh,nsga3,468,36,0.5846511156679806,0.32014235531570306,1.8785211817204004,6.063533695626166,-4792.447420081456
0,bnh,nsga3,481,37,0.5833463629692495,0.3196095948151213,1.8784699405967045,6.0635335005725235,-4792.4522399497155
