seed,problem,algorithm,n_eval,n_gen,gd+
0,bnh,nsga2,100,1,0.5431515794218706
0,bnh,nsga2,200,2,0.5055635887358942
0,bnh,nsga2,300,3,0.4254842087109487
0,bnh,nsga2,400,4,0.3527005567838053
0,bnh,nsga2,500,5,0.313553196620405
0,carside,nsga2,100,1,0.19628915489572654
0,carside,nsga2,200,2,0.36391461330910535
0,carside,nsga2,300,3,0.4363345158361214
0,carside,nsga2,400,4,0.3485225694670547
0,carside,nsga2,500,5,0.5149589165456269
0,ctp1,nsga2,100,1,0.0866867318700399
0,ctp1,nsga2,200,2,0.11751635982077772
0,ctp1,nsga2,300,3,0.10565388690718441
0,ctp1,nsga2,400,4,0.04981127240828682
0,ctp1,nsga2,500,5,0.02981465900673646
0,ctp2,nsga2,100,1,0.11000556546138694
0,ctp2,nsga2,200,2,0.0845858291223667
0,ctp2,nsga2,300,3,0.05796596309241404
0,ctp2,nsga2,400,4,0.07588839950151047
0,ctp2,nsga2,500,5,0.06392412904190235
0,ctp3,nsga2,100,1,0.12855384844009496
0,ctp3,nsga2,200,2,0.1270903101585445
0,ctp3,nsga2,300,3,0.12028394793304857
0,ctp3,nsga2,400,4,0.13761964222269268
0,ctp3,nsga2,500,5,0.09967547985311599
0,ctp4,nsga2,100,1,0.5362463880314614
0,ctp4,nsga2,200,2,0.4916815162052124
0,ctp4,nsga2,300,3,0.41820838412686095
0,ctp4,nsga2,400,4,0.4133655813829198
0,ctp4,nsga2,500,5,0.4321736432081169
0,ctp5,nsga2,100,1,0.13828228877988613
0,ctp5,nsga2,200,2,0.07016034341739567
0,ctp5,nsga2,300,3,0.07856761526457307
0,ctp5,nsga2,400,4,0.10442962199194947
0,ctp5,nsga2,500,5,0.08255664693641486
0,ctp6,nsga2,100,1,1.1076500496555666
0,ctp6,nsga2,200,2,1.7095521754040481
0,ctp6,nsga2,300,3,2.1297765058462885
0,ctp6,nsga2,400,4,0.6804383204248391
0,ctp6,nsga2,500,5,0.7602869122387282
0,ctp7,nsga2,100,1,0.10870204731049557
0,ctp7,nsga2,200,2,0.10067060759249281
0,ctp7,nsga2,300,3,0.10024304851345174
0,ctp7,nsga2,400,4,0.08948775015719047
0,ctp7,nsga2,500,5,0.10038249438553962
0,ctp8,nsga2,100,1,4.311071052593803
0,ctp8,nsga2,200,2,3.2539651911769196
0,ctp8,nsga2,300,3,3.1890067016094785
0,ctp8,nsga2,400,4,4.705251561528747
0,ctp8,nsga2,500,5,2.6126782011943526
0,dascmop1,nsga2,100,1,3.079303688306861
0,dascmop1,nsga2,200,2,2.288314852074101
0,dascmop1,nsga2,300,3,1.683438940110413
0,dascmop1,nsga2,400,4,1.683438940110413
0,dascmop1,nsga2,500,5,1.1249675012011173
0,dascmop2,nsga2,100,1,2.8977888058228856
0,dascmop2,nsga2,200,2,1.7912583544466398
0,dascmop2,nsga2,300,3,1.8046341416424452
0,dascmop2,nsga2,400,4,1.6647731669168113
0,dascmop2,nsga2,500,5,1.1915853583001836
0,dascmop3,nsga2,100,1,2.7736613631695795
0,dascmop3,nsga2,200,2,2.343186769244708
0,dascmop3,nsga2,300,3,1.5750169291928153
0,dascmop3,nsga2,400,4,0.7701836626301121
0,dascmop3,nsga2,500,5,0.7701836626301121
0,dascmop4,nsga2,100,1,31.437890415323754
0,dascmop4,nsga2,200,2,26.86855719923388
0,dascmop4,nsga2,300,3,25.919700097861583
0,dascmop4,nsga2,400,4,24.832773303585615
0,dascmop4,nsga2,500,5,22.571538586836905
0,dascmop5,nsga2,100,1,31.293440688029865
0,dascmop5,nsga2,200,2,29.48576991208162
0,dascmop5,nsga2,300,3,27.218220270221654
0,dascmop5,nsga2,400,4,27.218220270221654
0,dascmop5,nsga2,500,5,24.857866854640445
0,dascmop6,nsga2,100,1,31.55147940968833
0,dascmop6,nsga2,200,2,31.55147940968833
0,dascmop6,nsga2,300,3,29.640844640223996
0,dascmop6,nsga2,400,4,28.55785113964554
0,dascmop6,nsga2,500,5,26.278985597290703
0,dascmop7,nsga2,100,1,38.03183966932545
0,dascmop7,nsga2,200,2,33.73660759426485
0,dascmop7,nsga2,300,3,31.4043008920704
0,dascmop7,nsga2,400,4,31.377638031124185
0,dascmop7,nsga2,500,5,28.311566677355476
0,dascmop8,nsga2,100,1,40.985601774265774
0,dascmop8,nsga2,200,2,35.309304222687565
0,dascmop8,nsga2,300,3,35.309304222687565
0,dascmop8,nsga2,400,4,31.00945670432739
0,dascmop8,nsga2,500,5,28.72088811330214
0,dascmop9,nsga2,100,1,5.73826933819916
0,dascmop9,nsga2,200,2,5.737339673829727
0,dascmop9,nsga2,300,3,3.0560201844332986
0,dascmop9,nsga2,400,4,3.0803541590356116
0,dascmop9,nsga2,500,5,2.0564992272447187
0,df1,nsga2,100,1,1.936060570634535
0,df1,nsga2,200,2,1.2591153503151753
0,df1,nsga2,300,3,0.9889036310945042
0,df1,nsga2,400,4,0.8195922923139444
0,df1,nsga2,500,5,0.4356211324330337
0,df2,nsga2,100,1,1.3781185008085817
0,df2,nsga2,200,2,1.0751945799675042
0,df2,nsga2,300,3,0.821415991320056
0,df2,nsga2,400,4,0.5006366634059031
0,df2,nsga2,500,5,0.7300700496767649
0,df3,nsga2,100,1,4.624217646304412
