seed,problem,algorithm,n_eval,n_gen,best
0,ackley,ga,100,1,12.438739027373735
0,ackley,ga,200,2,9.999093709723184
0,ackley,ga,300,3,7.422793462754566
0,ackley,ga,400,4,2.6457118513044695
0,ackley,ga,500,5,2.6457118513044695
0,ackley,de,100,1,12.438739027373735
0,ackley,de,200,2,7.397854580137878
0,ackley,de,300,3,7.397854580137878
0,ackley,de,400,4,3.756235253282718
0,ackley,de,500,5,3.756235253282718
0,ackley,nelder-mead,20,1,11.461855674455975
0,ackley,nelder-mead,22,2,8.182690598209215
0,ackley,nelder-mead,24,3,7.9987517480759145
0,ackley,nelder-mead,26,4,4.29015784455531
0,ackley,nelder-mead,27,5,4.29015784455531
0,ackley,nelder-mead,28,6,4.29015784455531
0,ackley,nelder-mead,30,7,4.29015784455531
0,ackley,nelder-mead,32,8,3.9881610172420534
0,ackley,nelder-mead,34,9,0.8651776700084572
0,ackley,nelder-mead,36,10,0.8651776700084572
0,ackley,nelder-mead,38,11,0.8651776700084572
0,ackley,nelder-mead,40,12,0.8651776700084572
0,ackley,nelder-mead,42,13,0.6647696404722052
0,ackley,nelder-mead,44,14,0.2887212247721256
0,ackley,nelder-mead,46,15,0.2887212247721256
0,ackley,nelder-mead,48,16,0.0881385574186706
0,ackley,nelder-mead,50,17,0.06593852555810331
0,ackley,nelder-mead,52,18,0.06593852555810331
0,ackley,nelder-mead,54,19,0.047572420675880966
0,ackley,nelder-mead,56,20,0.023438275726249902
0,ackley,nelder-mead,58,21,0.023438275726249902
0,ackley,nelder-mead,60,22,0.020012460397677234
0,ackley,nelder-mead,62,23,0.00820639067315243
0,ackley,nelder-mead,64,24,0.00820639067315243
0,ackley,nelder-mead,66,25,0.00820639067315243
0,ackley,nelder-mead,68,26,0.003271700657958565
0,ackley,nelder-mead,70,27,0.0030816145679506413
0,ackley,nelder-mead,72,28,0.002890998319710736
0,ackley,nelder-mead,74,29,0.0011805648300051708
0,ackley,nelder-mead,76,30,0.0011805648300051708
0,ackley,nelder-mead,78,31,0.0011515807727318084
0,ackley,nelder-mead,80,32,0.0008560820048306717
0,ackley,nelder-mead,82,33,0.000270432551510158
0,ackley,nelder-mead,84,34,0.000270432551510158
0,ackley,nelder-mead,86,35,0.000270432551510158
0,ackley,nelder-mead,88,36,0.0002299114267327873
0,ackley,nelder-mead,90,37,0.00017397413312325583
0,ackley,nelder-mead,92,38,0.00010727964220480501
0,ackley,nelder-mead,94,39,5.8625550356072864e-05
0,ackley,nelder-mead,96,40,5.3200784205120755e-05
0,ackley,nelder-mead,98,41,3.440214599281788e-05
0,ackley,nelder-mead,100,42,2.6173745375945856e-05
0,ackley,nelder-mead,102,43,2.2954831987664903e-05
0,ackley,nelder-mead,104,44,1.4945476483507747e-05
0,ackley,nelder-mead,106,45,4.654485970423394e-06
