seed,problem,algorithm,n_eval,n_gen,best
0,ackley,ga,100,1,12.438739027373735
0,ackley,ga,200,2,7.8279333575343895
0,ackley,ga,300,3,6.075538460085994
0,ackley,ga,400,4,3.415776343515305
0,ackley,ga,500,5,2.6760851203649065
0,ackley,pso,25,1,9.682392467967915
0,ackley,pso,50,2,9.682392467967915
0,ackley,pso,75,3,3.234335654649858
0,ackley,pso,100,4,2.338157887634804
0,ackley,pso,125,5,2.338157887634804
0,ackley,pso,150,6,2.338157887634804
0,ackley,pso,175,7,2.338157887634804
0,ackley,pso,200,8,2.338157887634804
0,ackley,pso,225,9,2.054048948013581
0,ackley,pso,250,10,2.054048948013581
0,ackley,pso,275,11,1.9815726891422725
0,ackley,pso,300,12,1.9815726891422725
0,ackley,pso,325,13,1.9815726891422725
0,ackley,pso,350,14,1.7077441211124875
0,ackley,pso,375,15,0.19922281077048654
0,ackley,pso,400,16,0.19922281077048654
0,ackley,pso,425,17,0.19922281077048654
0,ackley,pso,450,18,0.17900579387919935
0,ackley,pso,475,19,0.17900579387919935
0,ackley,pso,500,20,0.09884432334875415
0,ackley,de,100,1,13.412972365337037
0,ackley,de,200,2,7.5140942203760055
0,ackley,de,300,3,2.7758568751485133
0,ackley,de,400,4,2.7758568751485133
0,ackley,de,500,5,2.7758568751485133
0,g1,ga,100,1,
0,g1,ga,200,2,
0,g1,ga,300,3,
0,g1,ga,400,4,
0,g1,ga,500,5,
0,g1,pso,25,1,
0,g1,pso,50,2,
0,g1,pso,75,3,
0,g1,pso,100,4,
0,g1,pso,125,5,
0,g1,pso,150,6,
0,g1,pso,175,7,-3.266354375832667
0,g1,pso,200,8,-3.647418062557903
0,g1,pso,225,9,-3.647418062557903
0,g1,pso,250,10,-3.74049556186268
0,g1,pso,275,11,-4.381512556842915
0,g1,pso,300,12,-4.381512556842915
0,g1,pso,325,13,-4.495164078995817
0,g1,pso,350,14,-4.495164078995817
0,g1,pso,375,15,-4.811305822066723
0,g1,pso,400,16,-4.902915731323553
0,g1,pso,425,17,-4.902915731323553
0,g1,pso,450,18,-5.511566902938508
0,g1,pso,475,19,-5.511566902938508
0,g1,pso,500,20,-5.511566902938508
0,g1,de,100,1,
0,g1,de,200,2,
0,g1,de,300,3,
0,g1,de,400,4,
0,g1,de,500,5,
0,griewank,ga,100,1,3.4143660726224696
0,griewank,ga,200,2,3.186057676263687
0,griewank,ga,300,3,1.9685746681582237
0,griewank,ga,400,4,0.46676345599829894
0,griewank,ga,500,5,0.46676345599829894
0,griewank,pso,25,1,1.5575215141735006
0,griewank,pso,50,2,1.3044259484487455
0,griewank,pso,75,3,0.9852819317126845
0,griewank,pso,100,4,0.5003390183182544
0,griewank,pso,125,5,0.5003390183182544
0,griewank,pso,150,6,0.5003390183182544
0,griewank,pso,175,7,0.33549058096699513
0,griewank,pso,200,8,0.33549058096699513
0,griewank,pso,225,9,0.28112215255216655
0,griewank,pso,250,10,0.28112215255216655
0,griewank,pso,275,11,0.28112215255216655
0,griewank,pso,300,12,0.28112215255216655
0,griewank,pso,325,13,0.28112215255216655
0,griewank,pso,350,14,0.15827307382988698
0,griewank,pso,375,15,0.0613730525523013
0,griewank,pso,400,16,0.0613730525523013
0,griewank,pso,425,17,0.0613730525523013
0,griewank,pso,450,18,0.0613730525523013
0,griewank,pso,475,19,0.0613730525523013
0,griewank,pso,500,20,0.04163935142789721
0,griewank,de,100,1,3.4143660726224696
0,griewank,de,200,2,1.5048568852586528
0,griewank,de,300,3,0.7840220510296549
0,griewank,de,400,4,0.5343665739390439
0,griewank,de,500,5,0.5343665739390439
0,rastrigin,ga,100,1,8.217120129600609
0,rastrigin,ga,200,2,5.343206698078234
0,rastrigin,ga,300,3,2.567608192660572
0,rastrigin,ga,400,4,1.290740944168462
0,rastrigin,ga,500,5,1.290740944168462
0,rastrigin,pso,25,1,4.155941357308578
0,rastrigin,pso,50,2,4.155941357308578
0,rastrigin,pso,75,3,3.0822466207590615
0,rastrigin,pso,100,4,3.0822466207590615
0,rastrigin,pso,125,5,3.0822466207590615
0,rastrigin,pso,150,6,3.0822466207590615
0,rastrigin,pso,175,7,1.6811048370390793
0,rastrigin,pso,200,8,1.2433372537953815
0,rastrigin,pso,225,9,1.2433372537953815
0,rastrigin,pso,250,10,1.2433372537953815
0,rastrigin,pso,275,11,1.2433372537953815
0,rastrigin,pso,300,12,0.25880584982952826
0,rastrigin,pso,325,13,0.04030982161351204
0,rastrigin,pso,350,14,0.04030982161351204
0,rastrigin,pso,375,15,0.03941575995440871
0,rastrigin,pso,400,16,0.03941575995440871
0,rastrigin,pso,425,17,0.03941575995440871
0,rastrigin,pso,450,18,0.03941575995440871
0,rastrigin,pso,475,19,0.03941575995440871
0,rastrigin,pso,500,20,0.03941575995440871
0,rastrigin,de,100,1,8.217120129600609
0,rastrigin,de,200,2,2.1112742156483435
0,rastrigin,de,300,3,2.016163065236263
0,rastrigin,de,400,4,1.8751042066804295
0,rastrigin,de,500,5,1.8751042066804295
0,rosenbrock,ga,100,1,0.3397824605387797
0,rosenbrock,ga,200,2,0.3397824605387797
0,rosenbrock,ga,300,3,0.3397824605387797
0,rosenbrock,ga,400,4,0.3397824605387797
0,rosenbrock,ga,500,5,0.18960688713206458
0,rosenbrock,pso,25,1,3.6496080091420025
0,rosenbrock,pso,50,2,0.06054595935959545
0,rosenbrock,pso,75,3,0.06054595935959545
0,rosenbrock,pso,100,4,0.004268078130236113
0,rosenbrock,pso,125,5,0.004268078130236113
0,rosenbrock,pso,150,6,0.004268078130236113
0,rosenbrock,pso,175,7,0.004268078130236113
0,rosenbrock,pso,200,8,0.0018392517425562336
0,rosenbrock,pso,225,9,0.0018392517425562336
0,rosenbrock,pso,250,10,0.0018392517425562336
0,rosenbrock,pso,275,11,0.0018392517425562336
0,rosenbrock,pso,300,12,0.0018392517425562336
0,rosenbrock,pso,325,13,0.000637797463643495
0,rosenbrock,pso,350,14,0.000637797463643495
0,rosenbrock,pso,375,15,0.0003291838231766647
0,rosenbrock,pso,400,16,0.0003291838231766647
0,rosenbrock,pso,425,17,0.0003291838231766647
0,rosenbrock,pso,450,18,0.0003291838231766647
0,rosenbrock,pso,475,19,0.0003291838231766647
0,rosenbrock,pso,500,20,0.0003291838231766647
0,rosenbrock,de,100,1,0.3397824605387797
0,rosenbrock,de,200,2,0.3397824605387797
0,rosenbrock,de,300,3,0.144756664249113
0,rosenbrock,de,400,4,0.144756664249113
0,rosenbrock,de,500,5,0.144756664249113
